"","County","Year","maytempDays90","maytempDays95","maytempDays99","juntempDays90","juntempDays95","juntempDays99","jultempDays90","jultempDays95","jultempDays99","augtempDays90","augtempDays95","augtempDays99","septempDays90","septempDays95","septempDays99","octtempDays90","octtempDays95","octtempDays99","meantemp","Average.x","sd.x","Anomaly.x","maypptDays90","maypptDays95","maypptDays99","junpptDays90","junpptDays95","junpptDays99","julpptDays90","julpptDays95","julpptDays99","augpptDays90","augpptDays95","augpptDays99","seppptDays90","seppptDays95","seppptDays99","octpptDays90","octpptDays95","octpptDays99","sumppt","Average.y","sd.y","Anomaly.y"
"53","F13003","1996",11,7,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,31.0867955724857,31.2271197879053,0.656100337144207,-0.213876151977694,2,1,0,0,0,0,1,1,0,3,0,0,1,0,0,2,2,0,620.772653037,623.640886918595,118.139130426326,-0.0242784407777845
"54","F13003","1997",0,0,0,0,0,0,2,1,0,0,0,0,10,6,1,6,0,0,30.5715688681751,31.2271197879053,0.656100337144207,-0.999162601536957,2,0,0,0,0,0,1,1,0,1,1,1,2,0,0,3,3,1,677.677550431,623.640886918595,118.139130426326,0.457398520857608
"55","F13003","1998",8,4,0,19,16,6,10,7,1,5,3,0,1,1,0,0,0,0,32.4288297448416,31.2271197879053,0.656100337144207,1.83159478650316,1,0,0,0,0,0,2,0,0,0,0,0,4,2,1,1,0,0,550.247551394,623.640886918595,118.139130426326,-0.621244927567537
"56","F13003","1999",0,0,0,0,0,0,4,2,1,8,5,3,6,4,2,0,0,0,31.224862796285,31.2271197879053,0.656100337144207,-0.00344000984686931,0,0,0,1,1,0,3,1,0,2,0,0,2,2,0,1,1,0,594.904082087,623.640886918595,118.139130426326,-0.243245440591045
"57","F13003","2000",9,5,2,3,3,0,5,4,1,2,2,0,0,0,0,1,0,0,31.5355275172307,31.2271197879053,0.656100337144207,0.470061836376699,0,0,0,1,1,0,1,1,0,1,1,0,5,2,0,0,0,0,554.768775438,623.640886918595,118.139130426326,-0.58297459302483
"58","F13003","2001",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.7355759662131,31.2271197879053,0.656100337144207,-0.749190015404981,0,0,0,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,522.024693948,623.640886918595,118.139130426326,-0.86014001122147
"59","F13003","2002",5,3,0,2,1,0,3,3,0,1,0,0,2,2,0,8,3,2,31.3880023211637,31.2271197879053,0.656100337144207,0.245210258477651,1,1,1,0,0,0,6,3,2,2,0,0,2,2,0,0,0,0,741.828162459,623.640886918595,118.139130426326,1.00040752893564
"60","F13003","2003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3747772764292,31.2271197879053,0.656100337144207,-1.2991039071647,2,1,0,4,2,0,1,1,0,3,2,0,1,1,0,3,1,0,811.961020558,623.640886918595,118.139130426326,1.59405383262785
"61","F13003","2004",10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,31.02506288894,31.2271197879053,0.656100337144207,-0.307966461112937,0,0,0,2,0,0,2,1,0,1,0,0,7,4,2,1,0,0,919.829183013,623.640886918595,118.139130426326,2.50711423916494
"62","F13003","2005",0,0,0,0,0,0,0,0,0,2,0,0,5,4,1,2,1,0,30.7864604042818,31.2271197879053,0.656100337144207,-0.671634136847986,1,0,0,4,3,2,3,3,0,4,2,0,0,0,0,0,0,0,626.174285345,623.640886918595,118.139130426326,0.0214441939538853
"63","F13003","2006",10,2,1,2,0,0,5,4,0,8,3,0,2,1,0,7,4,0,31.7092685405406,31.2271197879053,0.656100337144207,0.734870454013066,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,361.739183671,623.640886918595,118.139130426326,-2.21689208564915
"64","F13003","2007",0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,2,0,0,31.5148124326725,31.2271197879053,0.656100337144207,0.438488792765065,0,0,0,3,1,1,4,2,0,3,2,1,2,0,0,0,0,0,651.498367712,623.640886918595,118.139130426326,0.235802317935445
"65","F13003","2008",0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,1,1,0,30.6928051207694,31.2271197879053,0.656100337144207,-0.814379503997286,1,1,0,0,0,0,3,0,0,3,2,1,0,0,0,3,2,0,617.557550523,623.640886918595,118.139130426326,-0.051492984362097
"66","F13003","2009",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,5,0,30.7052048623509,31.2271197879053,0.656100337144207,-0.79548034958521,3,2,1,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,604.969183113,623.640886918595,118.139130426326,-0.158048427631171
"67","F13003","2010",1,0,0,5,2,0,5,1,0,2,1,0,8,6,2,4,1,0,32.3243572692905,31.2271197879053,0.656100337144207,1.67236231909448,3,3,1,2,1,0,2,1,1,4,3,1,2,1,0,0,0,0,697.268163972,623.640886918595,118.139130426326,0.623225148075058
"68","F13003","2011",15,10,4,13,9,2,2,0,0,15,9,1,7,2,0,1,0,0,32.1641754668269,31.2271197879053,0.656100337144207,1.4282200844466,0,0,0,1,0,0,3,2,2,1,1,1,1,1,0,1,1,1,590.878571028,623.640886918595,118.139130426326,-0.277319765029301
