"","County","Year","NumpptDays90","County1","NumpptDays95","County2","NumpptDays99","sumppt","Average","sd","Anomaly"
"3671","F13201","1988",0,"F13201",0,"F13201",0,447.792449051,640.86587037173,174.170389308201,-1.10853183533442
"3672","F13201","1989",2,"F13201",2,"F13201",0,886.490408385,640.86587037173,174.170389308201,1.4102542859833
"3673","F13201","1990",0,"F13201",0,"F13201",0,364.626530658,640.86587037173,174.170389308201,-1.5860292947093
"3674","F13201","1991",1,"F13201",0,"F13201",0,616.372857457,640.86587037173,174.170389308201,-0.140626733464943
"3675","F13201","1992",1,"F13201",0,"F13201",0,594.982652705,640.86587037173,174.170389308201,-0.263438681218871
"3676","F13201","1993",0,"F13201",0,"F13201",0,535.535102666,640.86587037173,174.170389308201,-0.604757032031106
"3677","F13201","1994",2,"F13201",0,"F13201",0,960.251836489,640.86587037173,174.170389308201,1.83375582603829
"3678","F13201","1995",0,"F13201",0,"F13201",0,654.503877753,640.86587037173,174.170389308201,0.0783026749577808
"3679","F13201","1996",1,"F13201",1,"F13201",1,679.498571411,640.86587037173,174.170389308201,0.221809810454682
"3680","F13201","1997",1,"F13201",1,"F13201",0,707.732040673,640.86587037173,174.170389308201,0.383912389280753
"3681","F13201","1998",0,"F13201",0,"F13201",0,853.06673539,640.86587037173,174.170389308201,1.21835213127286
"3682","F13201","1999",1,"F13201",1,"F13201",0,559.227551801,640.86587037173,174.170389308201,-0.468726738769974
"3683","F13201","2000",0,"F13201",0,"F13201",0,462.447551448,640.86587037173,174.170389308201,-1.02438950519891
"3684","F13201","2001",0,"F13201",0,"F13201",0,587.326122261,640.86587037173,174.170389308201,-0.307398681965332
"3685","F13201","2002",0,"F13201",0,"F13201",0,1145.545100796,640.86587037173,174.170389308201,2.89761785817233
"3686","F13201","2003",1,"F13201",1,"F13201",0,789.435509814,640.86587037173,174.170389308201,0.853013190315437
"3687","F13201","2004",1,"F13201",1,"F13201",0,797.951224179,640.86587037173,174.170389308201,0.901906199045706
"3688","F13201","2005",2,"F13201",1,"F13201",1,765.624489732,640.86587037173,174.170389308201,0.7163021214789
"3689","F13201","2006",3,"F13201",2,"F13201",1,606.408163466,640.86587037173,174.170389308201,-0.197839064622837
"3690","F13201","2007",0,"F13201",0,"F13201",0,450.677755052,640.86587037173,174.170389308201,-1.09196583917135
"3691","F13201","2008",0,"F13201",0,"F13201",0,703.387142251,640.86587037173,174.170389308201,0.358966137284315
"3692","F13201","2009",2,"F13201",0,"F13201",0,673.222448967,640.86587037173,174.170389308201,0.185775427865721
"3693","F13201","2010",3,"F13201",1,"F13201",1,536.108775139,640.86587037173,174.170389308201,-0.60146328918952
"3694","F13201","2011",0,"F13201",0,"F13201",0,513.474285818,640.86587037173,174.170389308201,-0.731419301867126
"3695","F13201","2012",1,"F13201",1,"F13201",0,621.591224086,640.86587037173,174.170389308201,-0.110665460198419
"3696","F13201","2013",0,"F13201",0,"F13201",0,1015.527142575,640.86587037173,174.170389308201,2.15111922119146
"3697","F13201","2014",1,"F13201",1,"F13201",0,534.99693906,640.86587037173,174.170389308201,-0.607846900568103
"3698","F13201","2015",1,"F13201",1,"F13201",0,548.635571531,640.86587037173,174.170389308201,-0.529540636655091
"3699","F13201","2016",1,"F13201",0,"F13201",0,517.159633163,640.86587037173,174.170389308201,-0.710259865067116
"3700","F13201","2017",2,"F13201",1,"F13201",0,703.306489784,640.86587037173,174.170389308201,0.358503070816356
